Dataset,Triangular Output,Triangular Time,Nearest Neighbour Output,Nearest Neighbour time,Nearest Neighbour + 2opt Output,Nearest Neighbour + 2opt Time,Real World Nearest Neighbour Output,Real World Nearest Neighbour Time,Real World Nearest Neighbour + 2opt Output,Real World Nearest Neighbour Time
25,362892,0.000573625,300939,0.000190959,293470,0.000708833,310809,0.000180542,304618,0.000855041
50,553691,0.00141662,534125,0.000712542,480877,0.00623163,530886,0.000627875,475771,0.00293892
75,643286,0.00325325,613454,0.00166225,540828,0.00811904,674435,0.0012625,587763,0.0102072
100,698897,0.00452783,705225,0.00202704,579057,0.0178739,702911,0.00205846,589743,0.0149263
200,909549,0.0165517,848806,0.010008,764360,0.0668242,859666,0.00847929,744527,0.0761678
300,1.19042e+06,0.052682,1.0991e+06,0.0231352,979277,0.194938,1.12611e+06,0.0195686,990414,0.194338
400,1.34828e+06,0.0689232,1.40436e+06,0.0375091,1.17913e+06,0.34988,1.36174e+06,0.0340562,1.13677e+06,0.59162
500,1.47969e+06,0.119545,1.38824e+06,0.0618674,1.20472e+06,0.639793,1.39895e+06,0.0557954,1.19954e+06,0.986529
600,1.65564e+06,0.151467,1.60424e+06,0.0737046,1.36161e+06,0.89729,1.58578e+06,0.0985707,1.32385e+06,0.913633
700,1.79652e+06,0.250671,1.71535e+06,0.106629,1.51044e+06,1.34539,1.73551e+06,0.119931,1.45592e+06,1.46679
800,1.91539e+06,0.313712,1.83611e+06,0.168729,1.5369e+06,1.88459,1.82632e+06,0.143246,1.54862e+06,2.20538
900,2.09379e+06,0.381117,1.88579e+06,0.194987,1.67242e+06,2.59498,1.8763e+06,0.205295,1.66643e+06,2.53645
1000,1.09815e+06,0.700804,1.00499e+06,0.237294,906986,3.94497,1.01475e+06,0.238514,919467,3.12739
